131 5559.323911 3.975E-75 2.695E+01.08600.30026355.50140.660.000000       X1/2  12       X1/2   9                RR  1.5ee     232210 6 5 2 1 1 0    12.0    8.0,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=12;J=2.5;parity=+;kronigParity=e,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=9;J=1.5;parity=-;kronigParity=e
131 5559.492819 1.818E-50 1.233E-01.05300.30013670.74490.660.000000       X3/2   6       X1/2   4                QR  3.5ee     232210 6 5 2 1 1 0    20.0   16.0,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=6;J=4.5;parity=+;kronigParity=e,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=4;J=3.5;parity=-;kronigParity=e
131 5559.492833 3.786E-57 2.888E-04.04000.30015912.35730.660.000000       X3/2   4       X1/2   2                QR 22.5ff     232210 6 5 2 1 1 0    96.0   92.0,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=4;J=23.5;parity=+;kronigParity=f,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=2;J=22.5;parity=-;kronigParity=f
131 5559.804114 1.785E-50 1.212E-01.05300.30013670.92760.660.000000       X3/2   6       X1/2   4                QR  3.5ff     232210 6 5 2 1 1 0    20.0   16.0,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=6;J=4.5;parity=-;kronigParity=f,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=4;J=3.5;parity=+;kronigParity=f
131 5559.815943 3.147E-82 3.969E-04.04000.30027978.28710.660.000000       X1/2   2       X3/2   0                RQ 42.5ef     232210 6 5 2 1 1 0   172.0  172.0,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=2;J=42.5;parity=+;kronigParity=e,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=0;J=42.5;parity=-;kronigParity=f
131 5560.669624 6.296E-77 4.457E-01.05300.30026423.48630.660.000000       X1/2  12       X3/2   9                QP  4.5ff     232210 6 5 2 1 1 0    16.0   20.0,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=12;J=3.5;parity=+;kronigParity=f,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=9;J=4.5;parity=-;kronigParity=f
131 5560.901534 6.135E-55 1.578E-02.04000.30015629.48500.660.000000       X1/2   5       X3/2   3                QP 18.5ee     232210 6 5 2 1 1 0    72.0   76.0,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=5;J=17.5;parity=-;kronigParity=e,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=3;J=18.5;parity=+;kronigParity=e
131 5561.010107 5.880E-75 2.122E+00.04000.30026284.78960.660.000000       X3/2   3       X3/2   1                RR 38.5ff     232210 6 5 2 1 1 0   160.0  156.0,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=3;J=39.5;parity=+;kronigParity=f,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=1;J=38.5;parity=-;kronigParity=f
131 5561.077865 6.532E-77 4.618E-01.05300.30026423.15150.660.000000       X1/2  12       X3/2   9                QP  4.5ee     232210 6 5 2 1 1 0    16.0   20.0,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=12;J=3.5;parity=-;kronigParity=e,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=9;J=4.5;parity=+;kronigParity=e
131 5561.216918 1.044E-36 8.861E-03.04000.300 6791.27790.660.000000       X3/2   3       X1/2   1                OP 12.5ee     232210 6 5 2 1 1 0    48.0   52.0,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=3;J=11.5;parity=-;kronigParity=e,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=1;J=12.5;parity=+;kronigParity=e
131 5561.749123 3.434E-79 1.825E-03.04000.30026636.31040.660.000000       X3/2  11       X1/2   8                QR 13.5ee     122210 6 5 2 1 1 0    60.0   56.0,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=11;J=14.5;parity=+;kronigParity=e,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=8;J=13.5;parity=-;kronigParity=e
131 5561.785385 3.577E-53 7.844E-02.04000.30015001.92090.660.000000       X1/2   6       X3/2   4                QP 10.5ee     232210 6 5 2 1 1 0    40.0   44.0,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=6;J=9.5;parity=-;kronigParity=e,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=4;J=10.5;parity=+;kronigParity=e
131 5562.050689 3.057E-75 2.646E+01.05300.30026510.64770.660.000000       X1/2  12       X1/2   9                RR  3.5ff     232210 6 5 2 1 1 0    20.0   16.0,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=12;J=4.5;parity=-;kronigParity=f,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=9;J=3.5;parity=+;kronigParity=f
131 5562.077025 5.350E-75 2.115E+00.04000.30026298.24830.660.000000       X1/2   3       X1/2   1                RR 37.5ee     232210 6 5 2 1 1 0   156.0  152.0,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=3;J=38.5;parity=+;kronigParity=e,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=1;J=37.5;parity=-;kronigParity=e
